car_brand,model,price,year,location,fuel,km_driven,gear,ownership,monthly_payment
Mahindra,XUV500W10,1114199,2015,Mumbai,Diesel,47121,Manual,1,24785
Honda,CityV MT PETROL,368299,2013,Mumbai,Petrol,98921,Manual,2,8193
Honda,Mobilio1.5 V I VTEC,509000,2015,Mumbai,Petrol,85434,Manual,2,11322
Honda,Amaze1.5 SMT I DTEC,471399,2015,Mumbai,Diesel,81286,Manual,1,10486
Maruti,Alto 800LXI CNG,300000,2015,Mumbai,Petrol + CNG,60634,Manual,1,6673
Ford,Ecosport1.5 TITANIUM TI VCT AT,625000,2014,Mumbai,Petrol,51040,Automatic,1,13903
Maruti,BalenoDELTA DDIS 190,549000,2016,Mumbai,Diesel,53911,Manual,1,12212
Tata,HexaVaricor 400 XTA,1169699,2018,Mumbai,Diesel,54600,Automatic,1,26019
Hyundai,Verna1.6 CRDI SX,875000,2017,Mumbai,Diesel,44076,Manual,1,19464
Maruti,Vitara BrezzaVDI,889099,2019,Mumbai,Diesel,44471,Manual,1,19778
MG,,1819399,2019,Mumbai,Diesel,37965,Manual,1,40472
Maruti,Alto K10VXI AMT,319899,2015,Mumbai,Petrol,87138,Manual,1,7116
Toyota,Innova2.5 G4 8 STR,494599,2010,Mumbai,Diesel,233928,Manual,2,11002
Honda,CityS MT PETROL,230899,2009,Mumbai,Petrol,110210,Manual,3,5136
Hyundai,XcentE PLUS,591699,2017,Mumbai,Petrol,45726,Manual,1,13162
Mahindra,XUV500W10 AT FWD,1475000,2017,Mumbai,Diesel,38630,Automatic,1,32811
Maruti,CiazVDI PLUS,523999,2015,Mumbai,Diesel,83414,Manual,2,11656
Maruti,Swift DzireZXI 1.2 BS IV,502799,2014,Mumbai,Petrol,74646,Manual,1,11184
Ford,FiestaTITANIUM PLUS PETROL AT,312299,2012,Mumbai,Petrol,124474,Automatic,1,6947
Maruti,CiazZDI SHVS HYBIRD,637899,2016,Mumbai,Diesel,82541,Manual,2,14190
Hyundai,Sonata Transform2.0 CRDI MT,333000,2011,Mumbai,Diesel,109668,Manual,1,7407
Toyota,,490199,2011,Chennai,Petrol,173910,Manual,1,10904
Toyota,Corolla AltisG,489699,2013,Delhi,Petrol,96168,Manual,1,10893
Volkswagen,VentoHIGHLINE DIESEL,434599,2013,Mumbai,Diesel,119721,Manual,1,9667
Mahindra,XUV500W10,1025000,2016,Mumbai,Diesel,57290,Manual,1,22801
Toyota,EtiosGD,482099,2016,Delhi,Diesel,45552,Manual,2,10724
Honda,Jazz1.2 V AT,549899,2016,Mumbai,Petrol,87453,Automatic,1,12232
Maruti,Wagon R 1.0VXI AMT,390000,2016,Mumbai,Petrol,85046,Automatic,1,8675
Volkswagen,VentoHIGHLINE PETROL AT,421000,2013,Mumbai,Petrol,84907,Automatic,1,9365
Hyundai,New Elantra1.6 SX AT O,891899,2015,Mumbai,Diesel,99008,Automatic,1,19840
Nissan,SunnyXV DIESEL,305000,2012,Mumbai,Diesel,100477,Manual,1,6785
Toyota,Corolla AltisD 4D G,477199,2012,Delhi,Diesel,123536,Manual,2,10615
Toyota,Innova2.5 G4 8 STR,475000,2008,Mumbai,Diesel,155469,Manual,2,10566
Hyundai,Creta1.6 SX PLUS PETROL,999988,2017,Mumbai,Petrol,51326,Manual,1,22244
Maruti,Vitara BrezzaVDI OPT,833315,2017,Mumbai,Diesel,46027,Manual,1,18537
Volkswagen,PoloHIGHLINE1.2L PETROL,512199,2015,Mumbai,Petrol,65084,Manual,2,11394
Maruti,ErtigaZDI,514799,2013,Mumbai,Diesel,160852,Manual,2,11451
Maruti,CelerioVXI,540000,2018,Mumbai,Petrol + CNG,49469,Manual,1,12012
Honda,Amaze1.5 SMT I DTEC,362099,2015,Mumbai,Diesel,92265,Manual,3,8055
Renault,DusterRXL PETROL 104,475000,2014,Mumbai,Petrol,92372,Manual,1,10566
Maruti,SwiftVDI,695000,2019,Mumbai,Diesel,66257,Manual,1,15460
Ford,Ecosport1.5TITANIUM TDCI,507600,2014,Mumbai,Diesel,95162,Manual,1,11291
Maruti,ErtigaZDI SHVS,727799,2016,Mumbai,Diesel,96172,Manual,1,16189
Skoda,FabiaCLASSIC 1.4 PD TDI,150000,2010,Mumbai,Diesel,121685,Manual,2,3337
Maruti,BalenoZETA 1.2 K12 AMT,685000,2017,Mumbai,Petrol,38472,Automatic,1,15237
Maruti,Vitara BrezzaZDI,922199,2018,Mumbai,Diesel,52403,Manual,1,20514
Maruti,S CrossZETA 1.3,890000,2018,Mumbai,Diesel,41921,Manual,1,19798
Hyundai,Creta1.6 VTVT SX AUTO,1380000,2018,Mumbai,Petrol,42163,Automatic,1,30697
Maruti,Vitara BrezzaZDI PLUS DUAL TONE,932800,2018,Mumbai,Diesel,61701,Manual,1,20750
Maruti,SwiftVDI,440000,2014,Mumbai,Diesel,74000,Manual,1,9788
Hyundai,Creta1.6 CRDI SX PLUS AUTO,965000,2016,Mumbai,Diesel,95186,Automatic,1,21466
Maruti,Swift DzireVDI BS IV,527099,2014,Mumbai,Diesel,107789,Manual,1,11725
Tata,HexaXM+,1240099,2019,Mumbai,Diesel,56090,Manual,1,27585
Mahindra,XyloD4 BS IV,675000,2017,Mumbai,Diesel,61312,Manual,1,15015
Hyundai,XcentSX 1.1 CRDI,365799,2014,Mumbai,Diesel,93358,Manual,2,8137
Hyundai,Creta1.6 SX PLUS AUTO PETROL,1125000,2017,Mumbai,Petrol,36803,Automatic,1,25025
Maruti,SwiftVDI,407799,2013,Mumbai,Diesel,113192,Manual,1,9071
Maruti,Swift DzireVDI BS IV,521099,2012,Mumbai,Diesel,93530,Manual,1,11592
Toyota,,474299,2011,Chennai,Petrol,122512,Manual,1,10551
Hyundai,i10MAGNA 1.1 IRDE2,275000,2012,Mumbai,Petrol + CNG,88631,Manual,1,6117
Mitsubishi,Pajero Sport2.5 AT 4X2,1875000,2017,Mumbai,Diesel,42036,Automatic,1,41708
Maruti,ErtigaVDI ABS,630000,2015,Mumbai,Diesel,97408,Manual,1,14014
Hyundai,VernaFLUIDIC 1.6 CRDI SX OPT AT,540000,2013,Mumbai,Diesel,69409,Automatic,1,12012
Maruti,ErtigaVDI SHVS LIMITED EDITION,1012062,2018,Mumbai,Diesel,35137,Manual,1,22513
Toyota,EtiosVX,474000,2016,Delhi,Petrol,67669,Manual,1,10544
Mahindra,BoleroPOWER+ SLE,630000,2018,Mumbai,Diesel,76919,Manual,1,14014
Hyundai,Creta1.6 SX PLUS AUTO PETROL,1100000,2017,Mumbai,Petrol,44702,Automatic,1,24469
Maruti,Swift DzireZXI 1.2 BS IV,395000,2013,Mumbai,Petrol,112332,Manual,1,8787
Toyota,Etios LivaGD,471699,2012,Chennai,Diesel,159268,Manual,1,10493
Ford,Ecosport1.5 TITANIUM TI VCT AT,700000,2015,Mumbai,Petrol,75107,Automatic,1,15571
Maruti,ErtigaVDI SHVS,778899,2016,Mumbai,Diesel,105716,Manual,1,17326
Maruti,ErtigaZXI,790000,2018,Mumbai,Petrol,40893,Manual,1,17573
Volkswagen,PoloHIGHLINE1.2L PETROL,449399,2015,Mumbai,Petrol,101000,Manual,1,9997
Maruti,Wagon R 1.0VXI,340000,2015,Mumbai,Petrol,70346,Manual,1,7563
Maruti,ErtigaVDI SHVS,840899,2016,Mumbai,Diesel,96051,Manual,1,18705
Maruti,S CrossDELTA 1.3,696099,2017,Mumbai,Diesel,103539,Manual,1,15484
Maruti,Vitara BrezzaZDI PLUS,867899,2016,Mumbai,Diesel,74337,Manual,1,19306
Maruti,CiazVDI PLUS,575000,2014,Mumbai,Diesel,86599,Manual,1,12791
Mercedes,Benz E ClassE 250 CDI AVANTGARDE,1345000,2012,Mumbai,Diesel,76350,Manual,1,29919
Maruti,BalenoDELTA DDIS 190,632731,2017,Mumbai,Diesel,76817,Manual,1,14075
